,Datetime,Open,High,Low,Close,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_80,RSI_14_B_20,MA10,MA20,MA50,slope20,slope20s1p,slope_chg_up,slope_chg_dn,macds1,macdss1,buy_pt,sell_pt,buy_pt_s1,sell_pt_s1,macdps1,macdsps1,dn_to_up,up_to_dn,vol_gt2
70,2022-06-30 00:37:00,11616.25,11616.25,11616.25,11616.25,-10.92793845903907,-2.437809795722414,-8.490128663316655,26.038815779033307,0,0,11624.525,11638.5625,11650.975,-43.8117208226231,-43.01584306871088,n,y,-11.41239687376219,-9.074582305405762,n,n,n,n,-10.736096068481856,-7.880676214386051,n,n,y
71,2022-06-30 00:37:00,11610.5,11610.5,11610.5,11610.5,-11.41239687376219,-2.3378145683564284,-9.074582305405762,23.12263369791242,0,0,11621.325,11636.575,11649.66,-37.814739331074676,-43.8117208226231,n,y,-11.582130425196738,-9.576091929363958,n,n,n,n,-10.92793845903907,-8.490128663316655,n,n,y
72,2022-06-30 00:38:00,11611.5,11611.5,11611.5,11611.5,-11.582130425196738,-2.0060384958327795,-9.576091929363958,24.70203854101785,0,0,11618.25,11634.5375,11648.335,-42.044715266065786,-37.814739331074676,n,y,-11.24409112304238,-9.909691768099643,n,n,n,n,-11.41239687376219,-9.074582305405762,n,n,y
73,2022-06-30 00:38:00,11615.75,11615.75,11615.75,11615.75,-11.24409112304238,-1.3343993549427378,-9.909691768099643,31.17379826960633,0,0,11616.9,11632.675,11647.02,-33.773604232981064,-42.044715266065786,n,y,-10.571905446162418,-10.042134503712198,n,n,n,n,-11.582130425196738,-9.576091929363958,n,n,y
74,2022-06-30 00:39:00,11619.25,11619.25,11619.25,11619.25,-10.571905446162418,-0.5297709424502202,-10.042134503712198,36.04855894810735,0,0,11616.05,11631.1375,11645.745,-23.282356213489713,-33.773604232981064,n,y,-10.722507489106647,-10.178209100791088,n,n,n,n,-11.24409112304238,-9.909691768099643,n,n,y
75,2022-06-30 00:39:00,11609.25,11609.25,11609.25,11609.25,-10.722507489106647,-0.5442983883155588,-10.178209100791088,29.598229842198386,0,0,11615.1,11629.125,11644.33,-28.6104596659652,-23.282356213489713,n,y,-10.738249745099893,-10.29021722965285,n,n,n,n,-10.571905446162418,-10.042134503712198,n,n,y
76,2022-06-30 00:40:00,11609.0,11609.0,11609.0,11609.0,-10.738249745099893,-0.4480325154470428,-10.29021722965285,29.456324998347643,0,0,11614.2,11627.0,11642.935,-33.10226180521616,-28.6104596659652,n,y,-10.368950945719916,-10.305963972866262,n,n,n,n,-10.722507489106647,-10.178209100791088,n,n,y
77,2022-06-30 00:40:00,11612.25,11612.25,11612.25,11612.25,-10.368950945719916,-0.06298697285365407,-10.305963972866262,33.89347246441326,0,0,11613.475,11624.8625,11641.845,-24.275269132062352,-33.10226180521616,n,y,-9.801905436852394,-10.20515226566349,y,y,n,n,-10.738249745099893,-10.29021722965285,n,n,y
78,2022-06-30 00:41:00,11614.25,11614.25,11614.25,11614.25,-9.801905436852394,0.4032468288110955,-10.20515226566349,36.53883465912664,0,0,11613.075,11622.8,11640.825,-7.652885986936278,-24.275269132062352,n,y,-8.886962027490881,-9.941514218028967,n,n,y,y,-10.368950945719916,-10.305963972866262,y,n,y
79,2022-06-30 00:41:00,11618.75,11618.75,11618.75,11618.75,-8.886962027490881,1.054552190538086,-9.941514218028967,42.148331268562266,0,0,11613.675,11620.9375,11639.87,6.752584943741099,-7.652885986936278,n,y,-7.989078022690592,-9.551026978961293,n,n,n,n,-9.801905436852394,-10.20515226566349,n,n,y
80,2022-06-30 00:42:00,11619.75,11619.75,11619.75,11619.75,-7.989078022690592,1.561948956270701,-9.551026978961293,43.3467615038259,0,0,11614.025,11619.275,11638.985,28.10391356531349,6.752584943741099,y,n,-7.015076844883879,-9.04383695214581,n,n,n,n,-8.886962027490881,-9.941514218028967,n,n,y
81,2022-06-30 00:42:00,11622.0,11622.0,11622.0,11622.0,-7.015076844883879,2.028760107261931,-9.04383695214581,46.05457463537656,0,0,11615.175,11618.25,11638.14,30.116731187697262,28.10391356531349,y,n,-6.471171912471618,-8.529303944210971,n,n,n,n,-7.989078022690592,-9.551026978961293,n,n,y
82,2022-06-30 00:43:00,11618.25,11618.25,11618.25,11618.25,-6.471171912471618,2.058132031739353,-8.529303944210971,42.415800878297055,0,0,11615.85,11617.05,11637.27,27.77009882731798,30.116731187697262,y,n,-6.350207399471401,-8.093484635263057,n,n,n,n,-7.015076844883879,-9.04383695214581,n,n,y
83,2022-06-30 00:43:00,11613.5,11613.5,11613.5,11613.5,-6.350207399471401,1.7432772357916555,-8.093484635263057,38.28908737804253,0,0,11615.625,11616.2625,11636.375,23.423070449208836,27.77009882731798,y,n,-6.322668736585911,-7.7393214555276275,n,n,n,n,-6.471171912471618,-8.529303944210971,n,n,y
84,2022-06-30 00:44:00,11611.75,11611.75,11611.75,11611.75,-6.322668736585911,1.4166527189417168,-7.7393214555276275,36.86599930081205,0,0,11614.875,11615.4625,11635.465,24.42734949634335,23.423070449208836,y,n,-5.770350197441076,-7.345527203910317,n,n,n,n,-6.350207399471401,-8.093484635263057,n,n,y
85,2022-06-30 00:44:00,11617.5,11617.5,11617.5,11617.5,-5.770350197441076,1.5751770064692412,-7.345527203910317,44.203948650742404,0,0,11615.7,11615.4,11634.775,16.36784560598676,24.42734949634335,y,n,-5.3915211403036665,-6.954725991188987,n,n,n,n,-6.322668736585911,-7.7393214555276275,n,n,y
